id,damage_class,damage_score,centroid_lat,centroid_lon,google_maps_url,not_official_ems,external_verdict,external_answer,external_yes_share,external_sources,official_gra_overlap_count,triage_status,source_url
hot_caraballeda_t45,needs_human_review,65,10.612894767898851,-66.85376143521607,"https://www.google.com/maps/search/?api=1&query=10.612894767898851,-66.85376143521607",True,uncertain,Yes-damaged/destroyed,0.5,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t46,needs_human_review,65,10.6146665208807,-66.85326975726592,"https://www.google.com/maps/search/?api=1&query=10.6146665208807,-66.85326975726592",True,uncertain,No damage,0.25,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t48,visual_confirmed_gap,95,10.6137172568993,-66.86120180992494,"https://www.google.com/maps/search/?api=1&query=10.6137172568993,-66.86120180992494",True,accepted,Yes-damaged/destroyed,0.625,microsoft,0,visual_confirmed_gap,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t49,needs_human_review,65,10.6151777091852,-66.85510960455278,"https://www.google.com/maps/search/?api=1&query=10.6151777091852,-66.85510960455278",True,uncertain,Yes-damaged/destroyed,0.375,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t51,needs_human_review,65,10.615462094062849,-66.85434138831448,"https://www.google.com/maps/search/?api=1&query=10.615462094062849,-66.85434138831448",True,uncertain,Not Sure,0.375,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t58,visual_confirmed_gap,95,10.6171762317909,-66.8572260039683,"https://www.google.com/maps/search/?api=1&query=10.6171762317909,-66.8572260039683",True,accepted,Yes-damaged/destroyed,1.0,microsoft,0,visual_confirmed_gap,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t59,visual_confirmed_gap,95,10.61731842109225,-66.85684188746173,"https://www.google.com/maps/search/?api=1&query=10.61731842109225,-66.85684188746173",True,accepted,Yes-damaged/destroyed,1.0,microsoft,0,visual_confirmed_gap,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t62,needs_human_review,65,10.61762197762475,-66.85494823037223,"https://www.google.com/maps/search/?api=1&query=10.61762197762475,-66.85494823037223",True,uncertain,Yes-damaged/destroyed,0.4286,microsoft,0,needs_human_review,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t63,visual_confirmed_gap,95,10.61662665942695,-66.85763702251289,"https://www.google.com/maps/search/?api=1&query=10.61662665942695,-66.85763702251289",True,accepted,Yes-damaged/destroyed,1.0,microsoft,0,visual_confirmed_gap,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
hot_caraballeda_t64,visual_confirmed_gap,95,10.6168918491686,-66.85799424298858,"https://www.google.com/maps/search/?api=1&query=10.6168918491686,-66.85799424298858",True,accepted,Yes-damaged/destroyed,0.8571,microsoft,0,visual_confirmed_gap,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson
