old_id,new_id,old_index,new_index,old_damage_gra,new_damage_gra,old_damage_percent,new_damage_percent,old_geometry_hash,new_geometry_hash,iou,overlap_m2,centroid_distance_m,old_area_m2,new_area_m2,area_ratio,old_centroid_lat,old_centroid_lon,new_centroid_lat,new_centroid_lon,has_before_after_vlm,vlm_reuse_eligible,remap_action,notes
ems_00033,aoi12_v2_00062,33,62,Damaged,Damaged,70,70,e2dc781d7ed28f81040aae8e5c52315dde23fd0d91eb5cb977bce649faf2bdb6,401e8e5d0e75e2f220fc3d2c595ef0b6ec413ab6e0882cfc437fbc5423a8107b,1.0,37802.506,0.0,37802.506,37802.506,1.0,10.60813953710622,-67.02576724334986,10.60813953710622,-67.02576724334986,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00034,aoi12_v2_00039,34,39,Damaged,Damaged,70,70,75572e530b8440a30cf5845dd054874392a1c11c0eb4292978ef488f5a9dad59,92122c735cd0e12772d806def15b8f3fcb499071204051cf0338ee91ef0f9502,1.0,32806.626,0.0,32806.626,32806.626,1.0,10.608278317217504,-67.03384899814262,10.608278317217504,-67.03384899814262,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00035,aoi12_v2_00066,35,66,Damaged,Damaged,70,70,496d048410be9b69dc8913f9dda197125a22bd6328bbf9462074a93495bc5e1a,0d63fd6b4420bbf6e935a85d8ad20c67f78324cc84ee22b5fd0ce82e2f5285df,1.0,110213.569,0.0,110213.569,110213.569,1.0,10.608223856547534,-67.02719065476747,10.608223856547534,-67.02719065476747,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00036,aoi12_v2_00040,36,40,Damaged,Damaged,70,70,b635f5a4ae8942792fa25317c6c5f63b29b6098a4f9d20d8b42ad68626025176,0ea441a06e60d28c8282943be9119e1b99f17dfb124118bcabaf88db3fccc8c9,1.0,12401.128,0.0,12401.128,12401.128,1.0,10.60854960774751,-67.02994487836814,10.60854960774751,-67.02994487836814,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00037,aoi12_v2_00071,37,71,Damaged,Damaged,70,70,3ebe4407d45cb1e9c23d5260f441f27c63e9e877367387ae24222f172624478b,44ad783becc96edc45eb5fa295f2050fd0e6eb0ba0a7c111f25b5450de8e9ced,1.0,13807.222,0.0,13807.222,13807.222,1.0,10.608689662819486,-67.0293232579801,10.608689662819486,-67.0293232579801,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00038,aoi12_v2_00072,38,72,Damaged,Damaged,70,70,0b4f808a0d2e13392b64bd2f9f5b249be871da65ca453821f6b7965ef1ba0dac,92cb062657dbf1831bf1391b7dcf73e3259eb555f8f1a04041774368570508c4,1.0,10610.673,0.0,10610.673,10610.673,1.0,10.608677814244999,-67.03122269666568,10.608677814244999,-67.03122269666568,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00039,aoi12_v2_00073,39,73,Damaged,Damaged,70,70,321608a3daaeff0234f7cb041d4957fda214b386304e8cd698063c584e76e4f4,ebce26e883e513a2846c90951c09f4ca575b90ec3f54927c6b8521d793c79c35,1.0,11496.479,0.0,11496.479,11496.479,1.0,10.608867681068658,-67.02866742043513,10.608867681068658,-67.02866742043513,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00040,aoi12_v2_00074,40,74,Damaged,Damaged,70,70,10aace701cb9f0027d6e9f8ee7ff766b2d252e543a6dc3cccce4e55f43b5f182,56209af1e2be1964203917a193449565a88baa313f10d4e9a55f0c9cf4f96ec4,1.0,8190.892,0.0,8190.892,8190.892,1.0,10.609180511443737,-67.02803538842835,10.609180511443737,-67.02803538842835,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00041,aoi12_v2_00063,41,63,Damaged,Damaged,70,70,75ee220e53a608b7da90587731ddea42027824554ad0eb87452057bad0013926,692cb424631e22da860056ce62a454a37f8acb881191699eeb475c7e53319673,1.0,29353.136,0.0,29353.136,29353.136,1.0,10.608220815979184,-67.0236287837531,10.608220815979184,-67.0236287837531,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00042,aoi12_v2_00064,42,64,Damaged,Damaged,70,70,1817ed7fbaaa4531928b1ed1134f144dc5906463cce2d5847251f988f6a316ff,fb76345673fa77a23a7a9ac2586f3f00deebbb5c6d4c5aad67991b9a1b4f86b3,1.0,36552.463,0.0,36552.463,36552.463,1.0,10.608235441103025,-67.02461266509081,10.608235441103025,-67.02461266509081,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
