checked_at,candidate_id,area,source_family,source_path,source_url,task_id,verdict,answer,yes,no,not_sure,total_validators,yes_share,sources,official_gra_overlap_count,official_gra_overlap_ids,triage_status,not_official_ems,lon,lat,imagery_tms
2026-07-01T17:53:38Z,hot_caraballeda_t24,caraballeda,hot_validated_mapswipe,caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,t24,uncertain,Yes-damaged/destroyed,4,4,0,8,0.5,microsoft,0,,needs_human_review,true,-66.86042606579974,10.60844002304535,https://titiler.hotosm.org/cog/tiles/WebMercatorQuad/{z}/{x}/{y}@1x?url=https://oin-hotosm-temp.s3.us-east-1.amazonaws.com/6a41b0d3b27aa6a12ba69d3e/0/6a41b0d3b27aa6a12ba69d3f.tif
2026-07-01T17:53:38Z,hot_caraballeda_t27,caraballeda,hot_validated_mapswipe,caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,t27,uncertain,Yes-damaged/destroyed,4,3,1,8,0.5,microsoft,0,,needs_human_review,true,-66.85543236185434,10.610288919384601,https://titiler.hotosm.org/cog/tiles/WebMercatorQuad/{z}/{x}/{y}@1x?url=https://oin-hotosm-temp.s3.us-east-1.amazonaws.com/6a41b0d3b27aa6a12ba69d3e/0/6a41b0d3b27aa6a12ba69d3f.tif
2026-07-01T17:53:38Z,hot_caraballeda_t28,caraballeda,hot_validated_mapswipe,caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,t28,uncertain,Yes-damaged/destroyed,4,3,1,8,0.5,microsoft,0,,needs_human_review,true,-66.8602377290829,10.611292012078401,https://titiler.hotosm.org/cog/tiles/WebMercatorQuad/{z}/{x}/{y}@1x?url=https://oin-hotosm-temp.s3.us-east-1.amazonaws.com/6a41b0d3b27aa6a12ba69d3e/0/6a41b0d3b27aa6a12ba69d3f.tif
2026-07-01T17:53:38Z,hot_caraballeda_t30,caraballeda,hot_validated_mapswipe,caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,t30,uncertain,Yes-damaged/destroyed,4,4,0,8,0.5,microsoft,0,,needs_human_review,true,-66.86166667319839,10.61235280630645,https://titiler.hotosm.org/cog/tiles/WebMercatorQuad/{z}/{x}/{y}@1x?url=https://oin-hotosm-temp.s3.us-east-1.amazonaws.com/6a41b0d3b27aa6a12ba69d3e/0/6a41b0d3b27aa6a12ba69d3f.tif
2026-07-01T17:53:38Z,hot_caraballeda_t31,caraballeda,hot_validated_mapswipe,caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,t31,uncertain,Yes-damaged/destroyed,4,2,2,8,0.5,microsoft,0,,needs_human_review,true,-66.85491376444763,10.6124681610713,https://titiler.hotosm.org/cog/tiles/WebMercatorQuad/{z}/{x}/{y}@1x?url=https://oin-hotosm-temp.s3.us-east-1.amazonaws.com/6a41b0d3b27aa6a12ba69d3e/0/6a41b0d3b27aa6a12ba69d3f.tif
2026-07-01T17:53:38Z,hot_caraballeda_t32,caraballeda,hot_validated_mapswipe,caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,t32,uncertain,No damage,3,4,1,8,0.375,microsoft,0,,needs_human_review,true,-66.85488686862564,10.612875559699951,https://titiler.hotosm.org/cog/tiles/WebMercatorQuad/{z}/{x}/{y}@1x?url=https://oin-hotosm-temp.s3.us-east-1.amazonaws.com/6a41b0d3b27aa6a12ba69d3e/0/6a41b0d3b27aa6a12ba69d3f.tif
2026-07-01T17:53:38Z,hot_caraballeda_t33,caraballeda,hot_validated_mapswipe,caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,t33,uncertain,Not Sure,1,2,3,6,0.1667,microsoft,0,,needs_human_review,true,-66.85213672786642,10.6091243619485,https://titiler.hotosm.org/cog/tiles/WebMercatorQuad/{z}/{x}/{y}@1x?url=https://oin-hotosm-temp.s3.us-east-1.amazonaws.com/6a41b0d3b27aa6a12ba69d3e/0/6a41b0d3b27aa6a12ba69d3f.tif
2026-07-01T17:53:38Z,hot_caraballeda_t34,caraballeda,hot_validated_mapswipe,caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,t34,uncertain,No damage,1,3,2,6,0.1667,microsoft,0,,needs_human_review,true,-66.85287804710671,10.60924734913305,https://titiler.hotosm.org/cog/tiles/WebMercatorQuad/{z}/{x}/{y}@1x?url=https://oin-hotosm-temp.s3.us-east-1.amazonaws.com/6a41b0d3b27aa6a12ba69d3e/0/6a41b0d3b27aa6a12ba69d3f.tif
2026-07-01T17:53:38Z,hot_caraballeda_t36,caraballeda,hot_validated_mapswipe,caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,t36,uncertain,No damage,2,3,1,6,0.3333,microsoft,0,,needs_human_review,true,-66.85128785375981,10.610630999000449,https://titiler.hotosm.org/cog/tiles/WebMercatorQuad/{z}/{x}/{y}@1x?url=https://oin-hotosm-temp.s3.us-east-1.amazonaws.com/6a41b0d3b27aa6a12ba69d3e/0/6a41b0d3b27aa6a12ba69d3f.tif
2026-07-01T17:53:38Z,hot_caraballeda_t37,caraballeda,hot_validated_mapswipe,caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,https://huggingface.co/datasets/hotosm/venezuela_eq_2026/resolve/main/caraballeda/damage_assessment/validated/validated_mapswipe/caraballeda_human_validated_damage_polygons.geojson,t37,uncertain,Not Sure,1,1,4,6,0.1667,microsoft,0,,needs_human_review,true,-66.85164506223886,10.61089619603355,https://titiler.hotosm.org/cog/tiles/WebMercatorQuad/{z}/{x}/{y}@1x?url=https://oin-hotosm-temp.s3.us-east-1.amazonaws.com/6a41b0d3b27aa6a12ba69d3e/0/6a41b0d3b27aa6a12ba69d3f.tif
