source_layer,source_id,damaged_flag,max_damage_pct,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,lon,lat,google_maps
caraballeda_east,4531,1,1.0,1.0,0.9362430466409927,0.9184459952088324,0.0,-66.8547032,10.6181071,"https://www.google.com/maps/search/?api=1&query=10.6181071,-66.8547032"
caraballeda_east,4532,1,1.0,1.0,0.8985854073601361,0.7797671855257144,0.0,-66.8552839,10.6181338,"https://www.google.com/maps/search/?api=1&query=10.6181338,-66.8552839"
caraballeda_east,4535,1,1.0,1.0,0.7868245743893413,0.5728001371565729,0.0,-66.855579,10.6179567,"https://www.google.com/maps/search/?api=1&query=10.6179567,-66.8555790"
caraballeda_east,4536,1,1.0,1.0,1.0,0.9244572158365262,0.0,-66.8554076,10.6180094,"https://www.google.com/maps/search/?api=1&query=10.6180094,-66.8554076"
caraballeda_east,4539,1,1.0,1.0,0.7223742370027363,0.6008320126782885,0.0,-66.8556535,10.6180952,"https://www.google.com/maps/search/?api=1&query=10.6180952,-66.8556535"
caraballeda_east,4540,1,1.0,1.0,0.8936413540713632,0.6929575514161069,0.0,-66.8556163,10.6181023,"https://www.google.com/maps/search/?api=1&query=10.6181023,-66.8556163"
caraballeda_east,4551,1,1.0,1.0,0.3462455303933254,0.2833822216554011,0.0,-66.8556919,10.6182922,"https://www.google.com/maps/search/?api=1&query=10.6182922,-66.8556919"
caraballeda_east,4692,1,1.0,1.0,0.43941575807447025,0.19664534656050123,0.0,-66.8536782,10.6150534,"https://www.google.com/maps/search/?api=1&query=10.6150534,-66.8536782"
caraballeda_east,4693,1,1.0,1.0,0.49621948585007564,0.17719734103269993,0.0,-66.8537103,10.6150697,"https://www.google.com/maps/search/?api=1&query=10.6150697,-66.8537103"
caraballeda_east,4694,1,1.0,1.0,0.5196055950470075,0.21511345499965304,0.0,-66.8536721,10.6150886,"https://www.google.com/maps/search/?api=1&query=10.6150886,-66.8536721"
caraballeda_east,4695,1,1.0,1.0,0.43257142857142855,0.1808138809137436,0.0,-66.8536901,10.6151299,"https://www.google.com/maps/search/?api=1&query=10.6151299,-66.8536901"
caraballeda_east,4753,1,1.0,1.0,0.4092940125111707,0.14416695176188848,0.0,-66.8543366,10.6163058,"https://www.google.com/maps/search/?api=1&query=10.6163058,-66.8543366"
caraballeda_east,4754,1,1.0,1.0,0.44239728928420163,0.13982347866480854,0.0,-66.8543271,10.6163474,"https://www.google.com/maps/search/?api=1&query=10.6163474,-66.8543271"
caraballeda_east,4995,1,1.0,1.0,0.6140739101571144,0.46156988222479406,0.0,-66.8527468,10.6170461,"https://www.google.com/maps/search/?api=1&query=10.6170461,-66.8527468"
caraballeda_east,5040,1,1.0,1.0,0.8502558411935146,0.8244121469927922,0.0,-66.8543769,10.6179128,"https://www.google.com/maps/search/?api=1&query=10.6179128,-66.8543769"
caraballeda_east,5052,1,1.0,1.0,1.0,0.9800958348691485,0.0,-66.8543983,10.6180053,"https://www.google.com/maps/search/?api=1&query=10.6180053,-66.8543983"
caraballeda_east,5053,1,1.0,1.0,1.0,0.9609459529084445,0.0,-66.854062,10.6180408,"https://www.google.com/maps/search/?api=1&query=10.6180408,-66.8540620"
caraballeda_east,5054,1,1.0,1.0,0.983102714209686,0.7826825127334465,0.0,-66.8537625,10.6180706,"https://www.google.com/maps/search/?api=1&query=10.6180706,-66.8537625"
caraballeda_east,5055,1,1.0,1.0,0.6944928313010853,0.6140377058150525,0.0,-66.8537886,10.6181486,"https://www.google.com/maps/search/?api=1&query=10.6181486,-66.8537886"
caraballeda_east,5083,1,1.0,1.0,0.8977426201041868,0.6598780564460368,0.0,-66.8488087,10.6183982,"https://www.google.com/maps/search/?api=1&query=10.6183982,-66.8488087"
caraballeda_east,5084,1,1.0,1.0,0.840090357864701,0.6643810056908294,0.0,-66.848468,10.6184247,"https://www.google.com/maps/search/?api=1&query=10.6184247,-66.8484680"
caraballeda_east,5086,1,1.0,1.0,0.9672768878718535,0.8210858239649027,0.0,-66.8486179,10.6184612,"https://www.google.com/maps/search/?api=1&query=10.6184612,-66.8486179"
