id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00068,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.600797055614034,-66.93254356192982,"https://www.google.com/maps/search/?api=1&query=10.600797055614034,-66.93254356192982"
ems_00069,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.601185569090909,-66.92727003272726,"https://www.google.com/maps/search/?api=1&query=10.601185569090909,-66.92727003272726"
ems_00070,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.601483331999999,-66.932459878,"https://www.google.com/maps/search/?api=1&query=10.601483331999999,-66.932459878"
ems_00071,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.602066998257577,-66.91408852594697,"https://www.google.com/maps/search/?api=1&query=10.602066998257577,-66.91408852594697"
ems_00072,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.601484581818182,-66.93185105818182,"https://www.google.com/maps/search/?api=1&query=10.601484581818182,-66.93185105818182"
ems_00073,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.601381866402878,-66.92999726273382,"https://www.google.com/maps/search/?api=1&query=10.601381866402878,-66.92999726273382"
ems_00074,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.601712313333334,-66.9332701838889,"https://www.google.com/maps/search/?api=1&query=10.601712313333334,-66.9332701838889"
ems_00075,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.602132583695653,-66.92518093793478,"https://www.google.com/maps/search/?api=1&query=10.602132583695653,-66.92518093793478"
ems_00076,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.602232627627117,-66.92376110355931,"https://www.google.com/maps/search/?api=1&query=10.602232627627117,-66.92376110355931"
ems_00077,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.602201359551282,-66.9320921798077,"https://www.google.com/maps/search/?api=1&query=10.602201359551282,-66.9320921798077"
ems_00078,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.603163559,-66.9221401887143,"https://www.google.com/maps/search/?api=1&query=10.603163559,-66.9221401887143"
ems_00079,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.603577484088397,-66.91877606718232,"https://www.google.com/maps/search/?api=1&query=10.603577484088397,-66.91877606718232"
ems_00080,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.604746885,-66.9012405575,"https://www.google.com/maps/search/?api=1&query=10.604746885,-66.9012405575"
ems_00081,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.607220437532895,-66.84336408355263,"https://www.google.com/maps/search/?api=1&query=10.607220437532895,-66.84336408355263"
ems_00082,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.609762825,-66.840295549375,"https://www.google.com/maps/search/?api=1&query=10.609762825,-66.840295549375"
ems_00083,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.610366280847458,-66.8243563998305,"https://www.google.com/maps/search/?api=1&query=10.610366280847458,-66.8243563998305"
ems_00084,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.61093628,-66.84658064333334,"https://www.google.com/maps/search/?api=1&query=10.61093628,-66.84658064333334"
ems_00085,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.611196907708333,-66.83687010145833,"https://www.google.com/maps/search/?api=1&query=10.611196907708333,-66.83687010145833"
ems_00086,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.61137259894737,-66.83207921263158,"https://www.google.com/maps/search/?api=1&query=10.61137259894737,-66.83207921263158"
ems_00087,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.61238737873606,-66.8272925567658,"https://www.google.com/maps/search/?api=1&query=10.61238737873606,-66.8272925567658"
ems_00088,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.611131018333333,-66.82205069,"https://www.google.com/maps/search/?api=1&query=10.611131018333333,-66.82205069"
ems_00089,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.61156053709091,-66.82944574727273,"https://www.google.com/maps/search/?api=1&query=10.61156053709091,-66.82944574727273"
ems_00090,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.612323683636363,-66.82729378636363,"https://www.google.com/maps/search/?api=1&query=10.612323683636363,-66.82729378636363"
ems_00091,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.604727436470588,-66.89588671529411,"https://www.google.com/maps/search/?api=1&query=10.604727436470588,-66.89588671529411"
ems_00092,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Destroyed,destroyed,100,Photo-interpretation,Building block,994,3,10.6049670925,-66.8973675125,"https://www.google.com/maps/search/?api=1&query=10.6049670925,-66.8973675125"
ems_00093,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Destroyed,destroyed,100,Photo-interpretation,Building block,994,3,10.605046571666668,-66.89867328666666,"https://www.google.com/maps/search/?api=1&query=10.605046571666668,-66.89867328666666"
ems_00094,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.60537589,-66.89959835027027,"https://www.google.com/maps/search/?api=1&query=10.60537589,-66.89959835027027"
ems_00095,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.605978172330827,-66.89171304300751,"https://www.google.com/maps/search/?api=1&query=10.605978172330827,-66.89171304300751"
ems_00096,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.607149818108107,-66.89196641351352,"https://www.google.com/maps/search/?api=1&query=10.607149818108107,-66.89196641351352"
ems_00097,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.609668543977273,-66.88812140087121,"https://www.google.com/maps/search/?api=1&query=10.609668543977273,-66.88812140087121"
